molecule,label,energy,cycles,converged,status,error_message
uf4,CDIIS,-451.2187381039033,36,True,ok,
uf4,EDIIS,-430.57926777222167,250,False,ok,
uf4,ADIIS,-451.21862216202237,250,False,ok,
uf4,LCIIS,-451.1791089655013,11,True,ok,
uf4_bs_triplet,CDIIS,-451.22961321409457,19,True,ok,
uf4_bs_triplet,EDIIS,-451.25673577808334,250,False,ok,
uf4_bs_triplet,ADIIS,-451.26012940173507,250,False,ok,
uf4_bs_triplet,LCIIS,-451.2296132141921,19,True,ok,
uf4,CDIIS,-451.2187381039033,36,True,ok,
uf4,EDIISCDIIS,-443.2321914529317,250,False,ok,
uf4,LCIIS,-451.1791089655013,11,True,ok,
uf4,CDIIS,-451.2187381039033,36,True,ok,
uf4,EDIISCDIIS,-451.17739916618075,43,True,ok,
uf4,LCIIS,-451.1791089655013,11,True,ok,
uf4,CDIIS,-347.77540827883513,250,False,ok,
uf4,EDIISCDIIS,-451.17739916618075,43,True,ok,
uf4,LCIIS,-451.1773991661818,36,True,ok,
cdim2,CDIIS,-5667.00872479284,18,True,ok,
cdim2,EDIISCDIIS,-5667.008724792837,33,True,ok,
cdim2,LCIIS,-5667.0087247928495,19,True,ok,
sih4,CDIIS,-290.4582219307276,25,True,ok,
sih4,EDIISCDIIS,-290.4582219314059,40,True,ok,
sih4,LCIIS,-290.4582219313877,14,True,ok,
crc,CDIIS,-1082.1139772262552,13,True,ok,
crc,EDIISCDIIS,-1082.1139772261429,16,True,ok,
crc,LCIIS,-1082.1139772262552,13,True,ok,
ru4co,CDIIS,-488.7047772390275,89,True,ok,
ru4co,EDIISCDIIS,-431.1834386910683,250,False,ok,
ru4co,LCIIS,-488.7047772389817,29,True,ok,
uf4_bs_triplet,CDIIS,-451.22961321422815,21,True,ok,
uf4_bs_triplet,EDIISCDIIS,-451.22961321427624,21,True,ok,
uf4_bs_triplet,LCIIS,-451.22961321424464,19,True,ok,
ru4co_bs_triplet,CDIIS,-488.74073919639613,45,True,ok,
ru4co_bs_triplet,EDIISCDIIS,-488.7407391964732,55,True,ok,
ru4co_bs_triplet,LCIIS,-488.7407391964497,44,True,ok,
uf4,CDIIS,-342.8272245375292,250,False,ok,
uf4,EDIISCDIIS,-451.2295239532947,54,True,ok,
uf4,LCIIS,-451.1901255824504,25,True,ok,
uf4,CDIIS,-347.77540827883513,250,False,ok,
uf4,EDIISCDIIS,-451.2183519870845,42,True,ok,
uf4,LCIIS,-451.1773991661818,36,True,ok,
cdim2,CDIIS,-5667.00872479284,18,True,ok,
cdim2,EDIISCDIIS,-5667.008724792831,22,True,ok,
cdim2,LCIIS,-5667.0087247928495,19,True,ok,
uf4_bs_triplet,CDIIS,-451.2594375458915,33,True,ok,
uf4_bs_triplet,EDIISCDIIS,-451.2594375458781,33,True,ok,
uf4_bs_triplet,LCIIS,-451.25943754589514,32,True,ok,
ch3cho,CDIIS,-152.9149016269934,16,True,ok,
ch3cho,EDIISCDIIS,-152.9149016269945,16,True,ok,
ch3cho,LCIIS,-152.91490162699353,16,True,ok,
ch3cho,CDIIS,-152.9149016269863,15,True,ok,
ch3cho,EDIISCDIIS,-152.91490162697926,15,True,ok,
ch3cho,LCIIS,-152.91490162698688,15,True,ok,
uf4_bs_triplet,CDIIS,-451.2594375458939,33,True,ok,
uf4_bs_triplet,EDIISCDIIS,-451.2594375458966,33,True,ok,
uf4_bs_triplet,LCIIS,-451.25943754588627,30,True,ok,
ru4co,CDIIS,-488.71067522369026,31,True,ok,
ru4co,EDIISCDIIS,-488.7106752237961,214,True,ok,
ru4co,LCIIS,-488.710675223865,25,True,ok,
ru4co_bs_triplet,CDIIS,-488.7353450604835,33,True,ok,
ru4co_bs_triplet,EDIISCDIIS,-488.73534506047486,33,True,ok,
ru4co_bs_triplet,LCIIS,-488.7353450604837,32,True,ok,
uf4,CDIIS,-451.20156530323845,37,True,ok,
uf4,EDIISCDIIS,-451.17910896558453,31,True,ok,
uf4,LCIIS,-451.1791089655002,12,True,ok,
uf4,CDIIS,-451.20156528676046,73,True,ok,
uf4,EDIISCDIIS,-451.17910896550245,31,True,ok,
uf4,LCIIS,-451.179108965502,12,True,ok,
cdim2,CDIIS,-5667.008724792831,23,True,ok,
cdim2,EDIISCDIIS,-5667.008724792848,29,True,ok,
cdim2,LCIIS,-5667.008724792821,21,True,ok,
cr2,CDIIS,-2085.4949792053217,12,True,ok,
cr2,EDIISCDIIS,-2085.494979205322,12,True,ok,
cr2,LCIIS,-2085.494979205323,12,True,ok,
cr2,CDIIS,-2085.501480843742,12,True,ok,
cr2,EDIISCDIIS,-2085.5014808437395,12,True,ok,
cr2,LCIIS,-2085.501480843738,12,True,ok,
n-methyl-2-nitrovinylamine,CDIIS,-375.5625275599177,14,True,ok,
n-methyl-2-nitrovinylamine,EDIISCDIIS,-375.5625275599165,13,True,ok,
n-methyl-2-nitrovinylamine,LCIIS,-375.56252755991943,14,True,ok,
cr2,CDIIS,-2085.501480843742,12,True,ok,
cr2,EDIISCDIIS,-2085.5014808437395,12,True,ok,
cr2,LCIIS,-2085.501480843738,12,True,ok,
cr2,CDIIS,-2085.5014808437413,15,True,ok,
cr2,EDIISCDIIS,-2085.50148084374,15,True,ok,
cr2,LCIIS,-2085.50148084374,15,True,ok,
n-methyl-2-nitrovinylamine,CDIIS,-375.56599517501246,14,True,ok,
n-methyl-2-nitrovinylamine,EDIISCDIIS,-375.5659951750112,14,True,ok,
n-methyl-2-nitrovinylamine,LCIIS,-375.5659951750111,14,True,ok,
cr2,CDIIS,-2085.501480843742,12,True,ok,
cr2,EDIISCDIIS,-2085.5014808437395,12,True,ok,
cr2,LCIIS,-2085.501480843738,12,True,ok,
